tier,eval_idx,question,correct_letter,correct_answer_text,vector_top1_rank,vector_top1_score_if_available,vector_top1_contains_answer,vector_top1_question_hits,vector_top1_answer_hits,vector_top1_snippet,reranked_top1_original_rank,reranked_top1_score,reranked_top1_contains_answer,reranked_top1_question_hits,reranked_top1_answer_hits,reranked_top1_snippet,reranked_top3_contains_answer,reranked_top3_best_rank,reranked_top3_best_original_rank,reranked_top3_best_score,reranked_top3_best_snippet,question_overlap_gain,answer_overlap_gain,reason_for_candidate_selection,selection_score,tier_order
Tier 1,16,What is a planetary system?,C,Any set of gravitationally bound non-stellar objects in or out of orbit around a star or star system.,1,2.634428024291992,False,system,"objects, orbit, star","A planet is a large object such as Venus or Earth that orbits a star. Planets are smaller than stars, and they do not make light. Jupiter is the biggest planet in the Solar System, while the smallest planet in the Solar System is Mercury.  Planets are shaped l",2,4.282773017883301,True,"planetary, system","any, objects, orbit, star","Planetary astronomy  Planetary astronomy is the study of planets, moons, dwarf planets, comets and asteroids as well as other small objects that orbit stars. The planets of our own Solar System have been studied in depth by many visiting spacecraft such as Cas",True,1.0,2.0,4.282773017883301,"Planetary astronomy  Planetary astronomy is the study of planets, moons, dwarf planets, comets and asteroids as well as other small objects that orbit stars. The planets of our own Solar System have been studied in depth by many visiting spacecraft such as Cas",1,1,"vector top-1 is not answer-bearing, while reranked top-1 becomes answer-bearing and scores higher",3125,0
Tier 2,18,What is the reason for the formation of stars exclusively within molecular clouds?,B,"The low temperatures and high densities of molecular clouds cause the gravitational force to exceed the internal pressures that are acting ""outward"" to prevent a collapse.",1,-1.4519635438919067,False,"formation, stars, clouds",cause,"Many galaxies continue to form new generations of stars. The Milky Way, and all spiral shaped galaxies like it (see right side image of NGC 2997), produce new stars at a rate of one or two stars per year. This star formation happens in the vast interstellar cl",25,-0.17041438817977905,False,"stars, molecular",,"The Solar System is about 4.568 billion years old. The Sun formed by gravity in a large molecular cloud. It is mainly hydrogen, which it converts into helium through nuclear fusion. The planets are in a flattened orbiting disk. This disk was left over from the",True,3.0,4.0,-2.6190061569213867,Star formation in the early universe may have created very big stars. These stars were so large that their cores collapsed into black holes. The black hole at the center of these stars slowly consumed the star from within making black holes of up to 103 solar ,-1,-1,an answer-bearing chunk moved from vector rank 4 to rerank rank 3,2145,1
Tier 2,7,What can be inferred about the electronic entropy of insulators and metals based on their densities of states at the Fermi level?,B,"Insulators have zero density of states at the Fermi level, and therefore, their density of states-based electronic entropy is essentially zero. Metals have non-zero density of states at the Fermi level, and thus, their electronic entropy should be proportional to the temperature and density of states at the Fermi level.",1,-9.182259559631348,False,metals,,"= nFEcellThe cell emf Ecell may be predicted from the standard electrode potentials for the two metals. For the zinc/copper cell under the standard conditions, the calculated cell potential is 1.1 volts.",3,-7.0383100509643555,False,"entropy, states",,The second law of thermodynamics states that the total entropy of an isolated system always increases over time.,True,2.0,7.0,-7.296882629394531,"Classification  Elements can be classified based on physical states. At room temperature and pressure, most elements are solids, only 11 are gases and 2 are liquids.  Elements can also be classified into metals and non-metals. There are many more metals than n",1,0,an answer-bearing chunk moved from vector rank 7 to rerank rank 2,2130,1
Tier 3,44,How many crystallographic point groups are there in three-dimensional space?,B,32,1,-5.573055744171143,False,"three, space",,"In a vector space  (with vectors being ""arrows"" with directions), the dimension of , also written as , is equal to the cardinality (or number of vectors) of a basis of  (a set which indicates how many unique directions  actually has). It is also equal to the n",40,-4.529453277587891,False,"point, three, space",,"In 1915, Einstein's general theory of relativity newly explained gravitation with 4D spacetime modeled as a Lorentzian manifold. Time is one dimension merged with the three space dimensions, as every event in 3D space—2D horizontally and 1D vertically—entails ",False,,,,,1,0,reranked top-1 is more semantically aligned with the question (3 question-term hits vs 2),1500,2
Tier 3,38,What is Modified Newtonian Dynamics (MOND)?,C,MOND is a hypothesis that proposes a modification of Newton's law of universal gravitation to account for observed properties of galaxies. It is an alternative to the hypothesis of dark matter in terms of explaining why galaxies do not appear to obey the currently understood laws of physics.,1,-10.360509872436523,False,,,Magnetic field,39,-5.1112446784973145,False,newtonian,newton,"The mechanistic paradigm, also known as the Newtonian paradigm, assumes that things in the environment around humans are more like machines than like life.  It was more common in the 19th century.  This is a set of loosely related beliefs that affects all scie",False,,,,,1,1,reranked top-1 is more semantically aligned with the question (1 question-term hits vs 0),1495,2
Tier 3,36,Who was the first person to describe the pulmonary circulation system?,E,Ibn al-Nafis,1,-9.395282745361328,False,first,,"On 1 August 1774, British clergyman Joseph Priestley focused sunlight on mercuric oxide in a glass tube. From this experiment he got a gas that he called ""dephlogisticated air"". He found that candles burned more brightly in the gas and a mouse lived longer whi",19,-4.548108100891113,False,"first, system",ibn,"They were not the first people to use mathematics to describe the physical world — Aristotle and Pythagoras came earlier, and so did Galileo Galilei, who said that mathematics was the language of science. But both Newton and Leibniz were the first to design a ",False,,,,,1,1,reranked top-1 is more semantically aligned with the question (2 question-term hits vs 1),1295,2
Tier 3,31,What is the 'reactive Leidenfrost effect' observed in non-volatile materials?,A,"The 'reactive Leidenfrost effect' is a phenomenon where solid particles float above hot surfaces and move erratically, observed in non-volatile materials.",1,-10.705440521240234,False,,,How ice is formed,13,-7.52013635635376,False,reactive,non,"Oxygen is part of the chalcogen group on the periodic table. It is a very reactive nonmetal. It makes oxides and other compounds with many elements. The oxygen in these oxides and in other compounds (mostly silicate minerals, and calcium carbonate in limestone",False,,,,,1,1,reranked top-1 is more semantically aligned with the question (1 question-term hits vs 0),1235,2
Tier 3,41,What happens to excess base metal as a solution cools from the upper transformation temperature towards an insoluble state?,B,"The excess base metal will often crystallize-out, becoming the proeutectoid until the remaining concentration of solutes reaches the eutectoid level, which will then crystallize as a separate microstructure.",1,-9.876359939575195,False,temperature,out,"Industrial Smelting of iron ore into steel uses about 55% of oxygen made by humans. To do this, O2 gas is injected into the ore through a lance at high pressure. This removes any sulfur or carbon from the ore that would not be wanted. They are given off as sul",13,-7.866951942443848,False,"metal, temperature",,"at low temperatures is used in cryogenics, and in certain cryogenics applications. Liquid helium is used to cool certain metals to the extremely low temperatures required for superconductivity, such as in superconducting magnets for magnetic resonance imaging.",False,,,,,1,-1,reranked top-1 is more semantically aligned with the question (2 question-term hits vs 1),1225,2
Tier 3,6,What is the application of Memristor?,D,"Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control systems, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID.",1,-10.363280296325684,False,,"memory, brain","Memory is the personal record of past experiences. It is the brain's ability to store information to use later. The Greeks considered memory (Mnemosyne) as the mother of Muses, for without her there would be no art and no science.   Memory is studied in scienc",13,-8.952672958374023,False,application,"applications, super, imaging","at low temperatures is used in cryogenics, and in certain cryogenics applications. Liquid helium is used to cool certain metals to the extremely low temperatures required for superconductivity, such as in superconducting magnets for magnetic resonance imaging.",False,,,,,1,1,reranked top-1 is more semantically aligned with the question (1 question-term hits vs 0),1235,2
Tier 3,3,What is accelerator-based light-ion fusion?,A,"Accelerator-based light-ion fusion is a technique that uses particle accelerators to achieve particle kinetic energies sufficient to induce light-ion fusion reactions. This method is relatively easy to implement and can be done in an efficient manner, requiring only a vacuum tube, a pair of electrodes, and a high-voltage transformer. Fusion can be observed with as little as 10 kV between the electrodes.",1,-9.729817390441895,False,,ion,Photon interactions with matter,9,-5.8276896476745605,False,"light, fusion",ion,"The light and heat created by nuclear fusion makes stars like the Sun very hot. It also makes bigger chemical elements. In the Sun (but not all stars) the change which takes place is the production of helium, with small amounts of heavier elements.  Stars have",False,,,,,2,0,reranked top-1 is more semantically aligned with the question (2 question-term hits vs 0),1290,2
