source_pool,original_train_idx,eval_idx_if_any,question,correct_letter,correct_answer_text,vector_top1_snippet,vector_top1_score,vector_top1_contains_answer_terms,vector_top1_why_irrelevant,reranked_top1_snippet,reranked_top1_original_vector_rank,reranked_top1_score,reranked_top1_contains_answer_terms,evidence_phrase,reranked_top1_why_answer_bearing,score_delta,rank_delta,strict_pass,reviewer_note,vector_hits,rerank_hits
official_random50,95,0,What is the main sequence in astronomy?,C,The main sequence is a continuous and distinctive band of stars that appears on plots of stellar color versus brightness. Stars on this band are known as main-sequence stars or dwarf stars.,"Cosmology is the branch of astronomy that deals with the origin, structure, evolution and space-time relationships of the universe. NASA defines cosmology as ""The study of the structure and changes in the present universe"". Another definition of cosmology is ""the study of the universe, and humanity's place in it"".  Modern cosmology is dominated by the Big Bang theory, which brings together observational astronomy and",-4.849652290344238,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"There are two main types of astronomy, observational and theoretical astronomy. Observational astronomy uses telescopes and cameras to observe or look at stars, galaxies and other astronomical objects. Theoretical astronomy explains what we see. It predicts what might happen. Observations show whether the predictions work.  The main work of astronomy is to explain puzzling features of the universe.  For many years th",2,-0.9719403982162476,True,the | and | stars | are,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,3.8777118921279907,1,False,,the | and | stars,the | and | stars | are
official_random50,15,1,"What is the ""ultraviolet catastrophe""?",B,It is the misbehavior of a formula for higher frequencies.,"Gravitational wave astronomy  Gravitational wave astronomy is the study of the Universe in the gravitational wave spectrum.  So far, all astronomy that has been done has used the electromagnetic spectrum.  Gravitational waves are ripples in spacetime emitted by very dense objects changing shape, which include white dwarves, neutron stars and black holes.  Because no one has been able to detect gravitational waves dir",-9.938532829284668,False,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"The photoelectric effect happens when light shining on a metal surface causes it to emit electrons. The difficulty for the classical wave theory was to explain why this effect only seems to occur for high frequency light such as UV, but not lower frequency such as red or infrared. Einstein showed that, since higher frequency light has photons with more energy, it has a greater chance of forcing electrons out of the m",19,-8.207411766052246,True,the | for | higher,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,1.7311210632324219,18,True,,the,the | for | higher
official_random50,30,2,What is the Carnot engine?,B,The Carnot engine is an ideal heat engine that operates in the limiting mode of extreme slowness known as quasi-static. It represents the theoretical maximum efficiency of a heat engine operating between any two given thermal or heat reservoirs at different temperatures.,"Walter Cannon, a professor of physiology at Harvard University coined the term homeostasis in his book The Wisdom of the Body in 1932. In his work with animals Cannon observed that any change of emotional state in the beast, such as anxiety, distress, or rage was accompanied by total cessation of movements of the stomach (Bodily Changes in Pain, Hunger, Fear and Rage, 1915). These studies into the relationship betwee",-11.250730514526367,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"A diesel-electric engine is a diesel generator, a diesel engine that drives an electric generator. The generator feeds electric power to an electric motor which turns a driveshaft.  Its efficiency is higher than when an engine drives a shaft through gears.  Most locomotives and many ships use diesel-electric drive.  Many diesel-electric drives, especially small ones, store the electricity in a battery. Some designs a",2,-5.941403865814209,True,the | engine | efficiency | any,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,5.309326648712158,1,False,,the | any,the | engine | efficiency | any
official_random50,158,3,What is accelerator-based light-ion fusion?,A,"Accelerator-based light-ion fusion is a technique that uses particle accelerators to achieve particle kinetic energies sufficient to induce light-ion fusion reactions. This method is relatively easy to implement and can be done in an efficient manner, requiring only a vacuum tube, a pair of electrodes, and a high-voltage transformer. Fusion can be observed with as little as 10 kV between the electrodes.","Nuclear fusion   Nuclear fusion is a very powerful source of energy. It depends on forcing atoms together to make helium and energy, as in a star like the Sun, or in a hydrogen bomb. This needs a large amount of energy to get started, and is not easy to do currently. A big advantage over nuclear fission, which is used in today's nuclear power stations, is that it makes less nuclear waste and does not use a poisonous ",-6.372804641723633,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"Nuclear fusion   Nuclear fusion is a very powerful source of energy. It depends on forcing atoms together to make helium and energy, as in a star like the Sun, or in a hydrogen bomb. This needs a large amount of energy to get started, and is not easy to do currently. A big advantage over nuclear fission, which is used in today's nuclear power stations, is that it makes less nuclear waste and does not use a poisonous ",1,-6.372804641723633,True,light | ion | fusion | easy | and | the,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,0.0,0,False,,light | ion | fusion | easy | and | the,light | ion | fusion | easy | and | the
official_random50,128,4,"What is a ""coffee ring"" in physics?",E,"A pattern left by a particle-laden liquid after it evaporates, named for the characteristic ring-like deposit along the perimeter of a spill of coffee or red wine.","Recent data from the Cassini spacecraft has shown that the rings have their own atmosphere, free from the planet's atmosphere. The rings' atmosphere is made of oxygen gas, and it is produced when the Sun's ultraviolet light breaks up the water ice in the rings. Chemical reactions also occur between the ultraviolet light and the water molecules, creating hydrogen gas. The oxygen and hydrogen atmospheres around the rin",-6.358919620513916,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"The rings are made of an extremely dark material. The rings are slightly red in the ultraviolet and visible parts of the spectrum and grey in near-infrared. They show no identifiable spectral features. The chemical composition of the ring particles is not known. However, they cannot be made of pure water ice like the rings of Saturn because they are too dark, darker than the inner moons of Uranus. This shows that the",12,-5.219832420349121,True,particle | the | ring | like | red,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,1.139087200164795,11,False,,the | ring | red,particle | the | ring | like | red
official_random50,115,5,What is water hammer?,E,"Water hammer is a loud banging noise resembling a hammering sound that occurs when moving water is suddenly stopped, causing a rise in pressure and resulting shock wave.","There is a water cycle.  Physical chemistry of water  Water is a fluid. Water is the only chemical substance on Earth that exists naturally in three states. There are over 40 anomalies (strange things) about water. Unlike most other liquids such as alcohol or oil, when water freezes, it expands by about 9%. This expansion can cause pipes to break if the water inside them freezes.  Water is a molecule made of two hydr",-5.3707427978515625,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"Water is also used for recreational purposes, see list of water sports.  Water is used as both the coolant and the neutron moderator in most nuclear reactors. This may be ordinary water (called light water in the nuclear industry) or heavy water.  Water is also used for washing a lot of objects. Goods, services and people are transported to other countries in watercrafts on bodies of water.  Water is used in chemical",2,-4.657103061676025,False,water | and,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,0.7136397361755371,1,False,,water | and,water | and
official_random50,69,6,What is the application of Memristor?,D,"Memristor has applications in programmable logic signal processing, Super-resolution imaging, physical neural networks, control systems, reconfigurable computing, in-memory computing, brain–computer interfaces and RFID.","Memory is the personal record of past experiences. It is the brain's ability to store information to use later. The Greeks considered memory (Mnemosyne) as the mother of Muses, for without her there would be no art and no science.   Memory is studied in sciences known as ""cognitive psychology"".   There are two types of memory: short-term and long-term memory, or known as working memory and reference memory.   Short-t",-10.533683776855469,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"A magnifying glass is a lens through which can be used to make things appear bigger, so you can see them better. It is used in many applications and manual operations, e.g., for examining postage stamps in philately.  The magnifying glass consists of a piece of convex-shaped glass or plastic. It has to be held at the right distance between the eye and the object for the object to be in focus. The magnifying glass usu",17,-9.195591926574707,False,applications | and,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,1.3380918502807617,16,False,,memory | brain | and,applications | and
official_random50,170,7,What can be inferred about the electronic entropy of insulators and metals based on their densities of states at the Fermi level?,B,"Insulators have zero density of states at the Fermi level, and therefore, their density of states-based electronic entropy is essentially zero. Metals have non-zero density of states at the Fermi level, and thus, their electronic entropy should be proportional to the temperature and density of states at the Fermi level.",". For example, if there were one mole of the sulfate ions SO42- on the copper side, then the process is limited to transferring two moles of electrons through the external circuit. The amount of electric charge contained in a mole of electrons is called the Faraday constant, and is equal to Avogadro's number times the electron charge:Faraday constant = F = NAe = 6.022 x 1023 x 1.602 x 10-19 = 96,485 Coulombs/moleThe ",-8.983356475830078,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"Other states  Many other states of matter can exist under special conditions, including strange matter, supersolids, and possibly string-net liquids. Scientist work on experiments at very high or very low temperatures to learn more about phases of matter.  Condensates  Bose-Einstein condensates and fermionic condensates are phases of matter that apply to particles called bosons and fermions, respectively. (More than ",2,-6.0972065925598145,True,states | the | fermi | and | temperature,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,2.8861498832702637,1,False,,the | and | metals,states | the | fermi | and | temperature
official_random50,174,8,What is the difference between illuminance and luminance?,B,"Illuminance is the amount of light falling on a surface per unit area, while luminance is the amount of light emitted by a source per unit area.","Light waves can move through space. Light is different from wind or water because light sometimes acts like waves and sometimes it acts as little bits called ""particles."" The nature of light is a big part of quantum mechanics.",-10.142455101013184,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,"Photons  (from Greek φως, meaning light), in many atomic models in physics,  are particles which transmit light. In other words, light is carried over space by photons. Photon is an elementary particle that is its own antiparticle. In quantum mechanics each photon has a characteristic quantum of energy that depends on frequency: A photon associated with light at a higher frequency will have more energy (and be associ",8,-8.38429069519043,True,the | amount | light | per,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,1.758164405822754,7,False,,the | light,the | amount | light | per
official_random50,45,9,What is classical mechanics?,A,"Classical mechanics is the branch of physics that describes the motion of macroscopic objects using concepts such as mass, acceleration, and force. It is based on a three-dimensional Euclidean space with fixed axes, and utilises many equations and mathematical concepts to relate physical quantities to one another.",Physics and mathematics Physics is a quantitative science because it is based on measuring with numbers. Mathematics is used in physics to make models that try to predict what will happen in nature. These predictions are compared to the way the real world works. Physicists are always working to make their models of the world better.  Branches   Classical mechanics contains major topics such as Newton's laws of motion,4.128542900085449,True,Vector top-1 lacks direct answer-bearing terms and does not contain sufficient evidence for the correct option.,Physics and mathematics Physics is a quantitative science because it is based on measuring with numbers. Mathematics is used in physics to make models that try to predict what will happen in nature. These predictions are compared to the way the real world works. Physicists are always working to make their models of the world better.  Branches   Classical mechanics contains major topics such as Newton's laws of motion,1,4.128542900085449,True,classical | mechanics | the | branch | physics | motion | and | force,Re-ranked top-1 is answer-bearing because it includes explicit evidence terms supporting the correct option.,0.0,0,False,,classical | mechanics | the | branch | physics | motion | and | force,classical | mechanics | the | branch | physics | motion | and | force
