question_idx,question,correct_answer,predicted_answer,top1_snippet,top2_snippet,top3_snippet,contains_correct_answer_terms,answer_term_hits,error_category
1,"What is the ""ultraviolet catastrophe""?",B,D,"The photoelectric effect happens when light shining on a metal surface causes it to emit electrons. The difficulty for the classical wave theory was to explain why this effect only seems to occur for high frequency light such as UV, but not lower frequency such as red or infrared. Einstein showed that, since higher frequency light has photons with more energy, it has a greater chance of forcing electrons out of the metal.","Phenomena  Burst events are those where there is a sudden change in the heavens that disappears quickly.  These are called bursts because they are normally associated with large explosions producing a ""burst"" of energy.  They include:  Supernovas  Novas  Periodic events are those that happen regularly in a repetitive way.  The name periodic comes from period, which is the length of time required for a wave to complete one cycle.  Periodic phenomena include:  Pulsars  Variable stars",Unsolved problems  Great discoveries also produce unsolved problems. This is just a short-list: Dark matter and dark energy: what are they? Ultimate fate of the Universe? What will it be? Why is lithium 4 times less than predicted? Origin of supermassive black holes. The source of ultra-high energy cosmic rays. The existence of life elsewhere.  Related pages    Asteroid  Astrobiology  Black hole  Comet  Galaxy  Meteor  Planet  Planetarium  Satellite (natural)  Solar system  Star  Universe,True,higher,Partial / weak evidence
4,"What is a ""coffee ring"" in physics?",E,B,"The C and D rings also seem to have a ""wave"" in them, like waves in water. These large waves are  high, but only moving slowly at about  each day. Some scientists believe that the wave is caused by Saturn's moons. Another idea is the waves were made by a comet hitting Saturn in 1983 or 1984.",Rings,"well as oxygen and hydrogen gas, the rings have a thin atmosphere made of hydroxide (a combination of oxygen and hydrogen called an anion), which was discovered by the Hubble Space Telescope.",True,"ring, like, red",LLM reasoning error
15,What is the relationship between Coordinated Universal Time (UTC) and Universal Time (UT1)?,D,B,time,"Swatch Internet Time is a way to measure time invented in 1998 by the Swatch manufacturing firm in Biel/Bienne, Switzerland. Time is shown as an ""@"" mark with three numerals. The day starts with @000 for midnight. Noon is @500. Just before midnight is @999. The thousand parts which make up a day are called ""dot beats"" (.beats). Each dot beat is one minute and 26.4 seconds long. Midnight is the same as Central European Winter Time (UTC+1)and Internet Time is the same all over the world. It does","In 1905, Einstein's special theory of relativity explained the accuracy of both Maxwell's electromagnetic field and Galilean relativity by stating that the field's speed is absolute—a universal constant—whereas both space and time are local phenomena relative to the object's energy.  Thus, an object in relative motion shortens along the direction of its momentum (Lorentz contraction), and its unfolding of events slows (time dilation). A passenger on the object cannot detect the change, as all",True,"utc, time, universal, time, seconds, utc, second, one, second, utc",LLM reasoning error
19,What is the Maxwell's Demon thought experiment?,C,A,"theory, Maxwell's theory of electromagnetism, and perhaps a better quantum theory. Most scientists do not think that he succeeded in that attempt.","their own. Otherwise, it would become unstable or break apart. James Keeler studied the rings using a spectroscope in 1895 which proved Maxwell's theory.","at a definite probability in relation to whether it was had been at the adjacent location.  The waveform of Maxwell's electromagnetic field was generated by an accumulation of probabilistic events.  Not the particles, but the mathematical form, was constant.",True,"other, part, other",LLM reasoning error
21,What is the most popular explanation for the shower-curtain effect?,E,A,"A meteor shower is an event when many meteors seem to come from one point in the night sky. These meteors are caused by meteoroids entering Earth's atmosphere at extremely high speeds on parallel paths. Most meteors are smaller than a grain of sand, so almost all of them burn up and never hit the Earth's surface.","A meteor shower is the result of an interaction between a planet, such as Earth, and streams of debris from a comet. Comets are dirty snowballs, made up of rock embedded in ice, orbiting the Sun. Each time a comet swings by the Sun in its orbit, some of its ice vaporizes and meteoroids will be shed. The meteoroids spread out along the entire orbit of the comet to form a meteoroid stream, also known as a ""dust trail"".","Most of our short-period meteor showers are the product of rare disintegrations, when large chunks break off a mostly dormant comet. Examples are the Quadrantids and Geminids. They originated from a breakup of asteroid-like objects, 2003 EH1 and 3200 Phaethon, respectively, about 500 and 1000 years ago. The fragments tend to fall apart quickly into dust, sand, and pebbles, and spread out along the orbit of the comet to form a dense meteoroid stream, which later moves into Earth's path.",False,,Missing evidence
24,What is the relevant type of coherence for the Young's double-slit interferometer?,E,C,"In the slit experiment, an electron would travel through one hole placed in front of it. Yet a single electron would travel simultaneously though multiple holes, however many were placed in front of it. The single electron would leave on the detection board an interference pattern as if the single particle were a wave that had passed through all the holes simultaneously. And yet this occurred only when unobserved. If light were shone on the expected event, the photon's interaction with the",Modern physics,OS compatibility,False,,Missing evidence
26,What is a regular polytope?,C,E,"A polypeptide is a single linear polymer chain of amino acids. The sequence of amino acids in a polypeptide comes from the DNA sequence of a gene. The genetic code specifies 20 standard amino acids. Shortly after synthesis, some amino acids are chemically modified. This alters the folding, stability, activity, and function of the protein. Sometimes proteins have non-peptide groups attached, as cofactors.","A cube is a type of polyhedron with all right angles and whose height, width and depth are all the same. It is a type of rectangular prism, which is itself a type of hexahedron.  A cube is one of the simplest mathematical shapes in space. Something that is shaped like a cube can be called cubic. Surface area of cube=6l^2 Lateral Surface area of cube=4l^2 Volume of cube=l^3","A polymer is a molecule, made from joining many small molecules called monomers. The word ""polymer"" can be broken down into ""poly"" (meaning ""many"" in Greek) and ""mer"" (meaning ""unit""). This shows how the chemical composition of a polymer consists of many smaller units (monomers) bonded together into a larger molecule. A chemical reaction bonding monomers together to make a polymer is called polymerization.",True,"shape, whose, group",LLM reasoning error
35,What is the Landau-Lifshitz-Gilbert equation used for in physics?,C,A,"This equation is used to calculate how the earth moves around the sun and how the moon moves around the earth. It is also used to calculate how other planets, stars and objects in space move around.  The equation says that if two objects are very heavy then there is a strong force between them because of gravity. If they are very far apart then the force is weaker.","E=mc2, also called the mass-energy equivalence, is one of the things that Einstein is most famous for. It is a famous equation in physics and math that shows what happens when mass changes to energy or energy changes to mass. The ""E"" in the equation stands for energy. Energy is a number which you give to objects depending on how much they can change other things. For instance, a brick hanging over an egg can put enough energy onto the egg to break it, but a feather can not.","For weak gravitational fields and slow speeds relative to the speed of light, the theory's predictions converge on those of Newton's law of universal gravitation. Newton's equations are used to plan journeys in our Solar System.  General relativity has a number of physical consequences.  Time dilation and frequency shift",True,"equation, equation, field",LLM reasoning error
39,What is the difference between probability mass function (PMF) and probability density function (PDF)?,D,B,"Probability is a part of applied mathematics. It has to do with chance, the study of things that might happen or might not happen.","By extending quantum mechanics across a field, a consistent pattern emerged. From location to adjacent location, the probability of the particle existing there would rise and fall like a wave of probability—a rising and falling probability density.  When unobserved, any quantum particle enters superposition, such that even a single particle fills the entire field, however large.  Yet the particle is not definitely anywhere in the field, but there at a definite probability in relation to whether","When the Standard Model is set to general relativity in order to include mass, probability densities of infinity appear.  This is presumed incorrect, as probability ordinarily ranges from 0 to 1—0% to 100% probability.  Some theoretical physicists suspect that the problem is in the Standard Model, which represents each particle by a zero-dimensional point that in principle can be infinitely small. Yet in quantum physics, the Planck's constant is the minimum energy unit that a field can be",False,,Missing evidence
43,What is the decay energy for the free neutron decay process?,E,A,"Beta decay is when a neutron turns into a proton, or a proton turns into a neutron. In the first case, the atom shoots out an electron. In the second case, it shoots out a positron (like an electron but with a positive charge). The result is an element with one higher or one lower atomic number than before. Beta decay happens when an atom has either too many protons or too many neutrons.","There are three main kinds of radioactive decay: alpha, beta, and gamma.  Alpha decay is when the atom shoots out a particle having two protons and two neutrons. This is a helium-4 nucleus. The result is an element with an atomic number of two less than before. So, for example, if a uranium atom (atomic number 92) went through alpha decay, it would become thorium (atomic number 90). Alpha decay happens when an atom is too big and needs to lose some mass.","The number of neutrons in relation to protons defines whether the nucleus stays together or goes through radioactive decay. When there are too many neutrons or protons, the atom tries to make the numbers smaller or more equal by removing the extra particles. It sends out radiation in the form of alpha, beta, or gamma decay. Nuclei can also change in other ways. Nuclear fission is when the nucleus breaks into two smaller nuclei, releasing a lot of energy. This release of energy makes nuclear",False,,Missing evidence
