model,prompt_style,index,question,question_type,ground_truth,prediction,exact_match,normalized_match,numeric_near_match,combined_relaxed_accuracy,verbose,average_answer_length_words,one_word
Base LLaVA,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,The color of the graph with 56 as the highest value is blue.,False,True,False,True,True,13,False
Base LLaVA,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,2009,False,False,True,True,False,1,True
Base LLaVA,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,"The blue line represents the percentage of foreign policy decisions made by the United States. The graph shows that the U.S. takes a significant portion of the international policy decisions, as indicated by the high percentage of foreign policy decisions",False,False,False,False,True,40,False
Base LLaVA,normal,3,What is the max value of blue line?,numeric,0.72,The max value of the blue line is 70%.,False,False,False,False,True,9,False
Base LLaVA,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,"In 2016, 67% of respondents indicated that jobs were a top priority for the president and Congress.",False,False,False,False,True,17,False
Base LLaVA,short,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Green,False,False,False,False,False,1,True
Base LLaVA,short,1,In which year the difference between blue and green graph 1?,numeric,2018,2009,False,False,True,True,False,1,True
Base LLaVA,short,2,What does the blue line represent?,legend_or_label,Not too much/not at all,Foreign policy,False,False,False,False,False,2,False
Base LLaVA,short,3,What is the max value of blue line?,numeric,0.72,70,False,False,False,False,False,1,True
Base LLaVA,short,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,60,False,False,False,False,False,1,True
Original adapter q/v 1 epoch,normal,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Blue,True,True,False,True,False,1,True
Original adapter q/v 1 epoch,normal,1,In which year the difference between blue and green graph 1?,numeric,2018,2005,False,False,True,True,False,1,True
Original adapter q/v 1 epoch,normal,2,What does the blue line represent?,legend_or_label,Not too much/not at all,The blue line represents the value of the foreign policy.,False,False,False,False,True,10,False
Original adapter q/v 1 epoch,normal,3,What is the max value of blue line?,numeric,0.72,1.0,False,False,True,True,False,1,True
Original adapter q/v 1 epoch,normal,4,What's the percentage of respondents who say Job is a top priority for the president and Congress in 2016?,numeric,68,57.3%,False,False,False,False,False,1,True
Original adapter q/v 1 epoch,short,0,What's the color of graph with 56 as the highest value?,numeric,Blue,Blue,True,True,False,True,False,1,True
