idx,question,answer,option_pred,option_gap,rag_pred,model_pred,final_pred,source,is_correct
0,How does power density differ between renewable and non-renewable energy sources?,E,E,0.08231692910194399,E,,E,rag_option_agree,True
1,Who acquired the Castle League franchise of the National First Division club Moja United to establish Durban Stars FC?,D,A,0.023963737487793013,D,D,D,majority_vote,True
2,Where is Eldorado High School located?,A,B,0.009817886352539107,B,,B,rag_option_agree,False
3,"Who are some of the actors starring in the film ""Jellyfish""?",D,B,0.05825433731079105,D,D,D,majority_vote,True
4,What is the Hell Is Real Derby?,D,D,1.4604215539991854,,,D,option_aware_high_conf,True
5,"What is the common name of the species of lizard in the family Gymnophthalmidae, which is endemic to Peru and is monotypic in the genus Wilsonosaura?",E,A,0.0,E,E,E,majority_vote,True
6,What is the primary sport associated with Club Internacional de Foot-ball?,D,D,1.0682485103607178,,,D,option_aware_high_conf,True
7,"What was the significance of the film ""King Stag"" in the Soviet Union?",D,A,0.447069352865219,,,A,option_aware_high_conf,False
8,What is Iain David Johnston's current position in the United States judicial system?,B,B,0.07205694913864136,B,,B,rag_option_agree,True
9,What was the significance of the 1975 Pan American Games field hockey tournament?,E,D,0.17347815036773684,D,,D,rag_option_agree,False
10,When did Jackson Heywood start appearing as the character Brody in Home and Away?,D,D,1.12566237449646,,,D,option_aware_high_conf,True
11,What is Ellen Renee Stofan's current role at The Smithsonian?,B,C,0.009521913528442338,B,B,B,majority_vote,True
12,What were the western region stores of the electronics retailer Silo known as for a number of years?,E,E,1.1960776805877684,,,E,option_aware_high_conf,True
13,Who stars as Vivienne Rook in the television miniseries Years and Years?,E,C,0.10328063964843759,E,E,E,majority_vote,True
14,What is the function of the Glutamate-cysteine ligase regulatory subunit encoded by the GCLM gene?,C,A,0.6259340047836304,,,A,option_aware_high_conf,False
15,"What inspired the creation of the documentary ""Winning: The Racing Life of Paul Newman""?",D,B,0.04730786085128784,D,D,D,majority_vote,True
16,How was the Laidunina Lighthouse recognized in Estonia?,A,A,0.0,A,,A,rag_option_agree,True
17,Which year did the Cold Lake Air Force Museum first open its doors?,E,B,0.10563912540674208,A,C,C,judge,False
18,What famous activist was associated with The Body Shop International Limited?,C,B,0.11695800423622138,C,C,C,majority_vote,True
19,"What is the meaning of the term ""horror vacui""?",B,B,0.21275306344032274,B,,B,rag_option_agree,True
20,What is the significance of the large shifting sand dunes in Lost Forest Research Natural Area?,D,A,0.014848279953002919,D,D,D,majority_vote,True
21,Which of the following is a common name for the grass species known as Amphicarpum muehlenbergianum?,E,E,0.5601317882537842,,,E,option_aware_high_conf,True
